train_acc,train_loss,val_acc,val_loss
0.04551578947368421,4.2283897,0.05600000000000001,4.246628
0.09711578947368421,3.8302813,0.10919999999999998,3.7221143
0.15854736842105263,3.4878767,0.18159999999999996,3.3390918
0.20991578947368422,3.194545,0.222,3.1381197
0.25997894736842103,2.933846,0.236,3.2355328
0.29724210526315786,2.745322,0.314,2.722056
0.3262526315789473,2.605991,0.3068,2.7003503
0.3474736842105263,2.4891238,0.3379999999999999,2.5146034
0.36818947368421057,2.398751,0.3624,2.4548566
0.384778947368421,2.319355,0.374,2.3935769
0.3961263157894737,2.2477155,0.3712,2.3737204
0.41378947368421054,2.1815898,0.3884,2.3407023
0.42717894736842105,2.1233306,0.36879999999999996,2.444867
0.44294736842105265,2.058605,0.4056,2.1854193
0.45046315789473684,2.0188882,0.402,2.29251
0.46214736842105264,1.9705001,0.4452,2.0757475
0.4731368421052632,1.9193169,0.44,2.0539029
0.4814105263157895,1.877169,0.43839999999999996,2.0667248
0.49044210526315796,1.8354268,0.43200000000000005,2.1544433
0.4975789473684211,1.8045084,0.4427999999999999,2.0867448
0.5072631578947369,1.7723718,0.45799999999999996,2.0287597
0.5150526315789474,1.7352259,0.47,1.987622
0.520821052631579,1.7138473,0.478,1.903796
0.5276000000000001,1.6850178,0.45439999999999997,2.0523648
0.5357684210526316,1.6583205,0.494,1.9033387
0.5390947368421053,1.6335896,0.47800000000000004,1.9595659
0.5456421052631579,1.6132861,0.486,1.9136035
0.5548,1.583805,0.5044,1.8599119
0.560442105263158,1.5585763,0.4936,1.8760039
0.5635789473684211,1.5396665,0.4895999999999999,1.8363422
0.5646947368421052,1.517853,0.5112000000000001,1.764637
0.5706736842105263,1.498346,0.5204000000000001,1.7971436
0.5763578947368421,1.4794506,0.5064,1.8349118
0.5827789473684212,1.4596541,0.5008,1.874424
0.5850526315789475,1.4414678,0.5184,1.7660118
0.5881263157894737,1.4260049,0.5292000000000001,1.7376906
0.5954105263157895,1.4027847,0.5332,1.7326722
0.5990947368421052,1.3873104,0.5252,1.7249588
0.6033684210526317,1.3720386,0.532,1.7178683
0.6058105263157896,1.3600205,0.5196000000000001,1.7564377
0.6146947368421053,1.3331103,0.5292,1.7423918
0.6181263157894737,1.3144102,0.5252,1.8006244
0.6186526315789473,1.3083513,0.5432,1.6891501
0.6231578947368421,1.2868773,0.5388000000000001,1.6935163
0.627957894736842,1.2790939,0.5436,1.6770713
0.632378947368421,1.2556181,0.5367999999999999,1.8149754
0.6365052631578948,1.244069,0.5424,1.7503189
0.6408421052631579,1.228095,0.5476000000000001,1.7025027
0.6436631578947368,1.2115937,0.5616,1.6514696
0.6482736842105263,1.1967833,0.5532,1.6663898
0.6498736842105264,1.1913633,0.544,1.7218317
0.6541052631578949,1.1669444,0.556,1.6782515
0.6586105263157895,1.156309,0.5504000000000001,1.6614583
0.6648631578947369,1.1401329,0.5611999999999999,1.7006047
0.6638315789473684,1.1307253,0.5616,1.6515815
0.667557894736842,1.116677,0.5644,1.6880955
0.6698947368421052,1.1036747,0.5704,1.6393245
0.6741473684210527,1.0936002,0.5652,1.6610914
0.6754315789473684,1.0845084,0.5736,1.6269487
0.6788842105263159,1.0709723,0.5691999999999999,1.6416324
0.6850736842105264,1.0541933,0.5711999999999999,1.6227847
0.6896631578947369,1.0369176,0.5696,1.6433296
0.6916421052631578,1.032299,0.574,1.6306895
0.6935789473684211,1.0214211,0.5700000000000001,1.6175091
0.6950947368421053,1.0102742,0.5760000000000001,1.6204786
0.6967789473684212,1.0020883,0.58,1.6070851
0.7013263157894737,0.99134326,0.5864,1.6281533
0.7040631578947368,0.98124063,0.5823999999999999,1.6419352
0.7074105263157895,0.96676964,0.5904,1.6118983
0.709557894736842,0.95764804,0.5832,1.6367282
0.7149263157894737,0.9448256,0.5848,1.6010087
0.7159157894736843,0.9419278,0.5832,1.6292061
0.7181263157894737,0.9302458,0.5928,1.6065749
0.7210105263157895,0.9178178,0.5868,1.6159781
0.7243578947368421,0.9091577,0.5888,1.6225595
0.723536842105263,0.9116044,0.5820000000000001,1.6103182
0.7282947368421052,0.8995227,0.5848,1.6284688
0.7296631578947369,0.89110285,0.5848,1.6122901
0.7330947368421054,0.8807718,0.584,1.6256232
0.7342526315789474,0.8762622,0.5836000000000001,1.621332
0.7339578947368421,0.873078,0.5892,1.6224122
0.7399157894736841,0.8633363,0.5895999999999999,1.6146264
0.7361052631578947,0.8634977,0.5883999999999999,1.624198
0.7397473684210526,0.8521166,0.5864,1.6235766
0.7403368421052631,0.84980994,0.5823999999999999,1.6229858
0.7443578947368421,0.8382664,0.59,1.6133642
0.7431578947368421,0.8420945,0.5912,1.6197181
0.7419789473684212,0.8382812,0.5864,1.6354588
0.7449894736842105,0.82970184,0.5883999999999999,1.6302292
0.7474526315789473,0.82675356,0.5920000000000001,1.623281
0.745978947368421,0.8309443,0.594,1.6272316
0.7474315789473684,0.8254257,0.5912000000000001,1.6301379
0.7484000000000001,0.8264096,0.5884,1.6399565
0.7486315789473683,0.82279956,0.5943999999999999,1.6208514
0.7482526315789474,0.8235129,0.588,1.6262606
0.7514105263157894,0.81600446,0.5916,1.6250397
0.7496631578947369,0.81652826,0.5892000000000001,1.6293262
0.7503368421052631,0.8149902,0.5896,1.6285303
0.7528842105263158,0.809484,0.5907999999999999,1.6384993
0.7502736842105263,0.815764,0.592,1.6311171
